feature,importance
cat__on_street_name_HUTCHINSON RIVER PARKWAY,0.0009651132277476882
cat__on_street_name_CANAL STREET                    ,0.0009604400407586601
cat__off_street_name_BEACH 29 STREET,0.0009587960693990919
cat__on_street_name_N CONDUIT AVE,0.0009567286890032057
cat__off_street_name_SKILLMAN AVENUE,0.0009560681424680869
cat__off_street_name_SCHENECTADY AVENUE,0.0009527639752852878
cat__zip_code_11234,0.0009430433315024036
cat__on_street_name_BREWER BOULEVARD                ,0.0009407534314836896
cat__on_street_name_ATLANTIC AVENUE                 ,0.0009383131846518003
cat__zip_code_11229,0.000926302417375636
cat__on_street_name_EASTERN PARKWAY,0.0009252495429257439
cat__on_street_name_WESTCOTT BOULEVARD              ,0.0009235325323828322
cat__off_street_name_LABAU AVENUE                    ,0.0009105585017704104
cat__off_street_name_EAST 162 STREET,0.000904877822530442
cat__on_street_name_24 AVENUE,0.00089934862729796
cat__zip_code_11235,0.0008960359815273656
cat__off_street_name_16 AVENUE,0.0008934275218864143
cat__on_street_name_CROSS ISLAND PARKWAY,0.0008743079771962888
cat__off_street_name_226 STREET                      ,0.0008686428894271314
cat__contributing_factor_vehicle_1_Physical Disability,0.0008683304749453484
cat__off_street_name_PENNSYLVANIA AVE,0.0008657849261120021
cat__on_street_name_BOROUGH PLACE                   ,0.0008629730637443557
cat__contributing_factor_vehicle_1_View Obstructed/Limited,0.0008620321083131006
cat__zip_code_11213,0.0008531931284093028
cat__zip_code_10013,0.0008513562464793217
cat__on_street_name_KINGS HWY,0.0008508023909227349
cat__off_street_name_BURNETT STREET,0.0008502405580294174
cat__off_street_name_GRAND STREET,0.0008470606500551469
cat__off_street_name_86 STREET                       ,0.0008415091533987231
cat__off_street_name_CHURCH AVE,0.0008392015620527032
cat__on_street_name_4 AVENUE                        ,0.0008362900838350019
cat__contributing_factor_vehicle_1_Fell Asleep,0.0008353753203443907
cat__zip_code_10036,0.0008333626333696169
cat__off_street_name_SELFRIDGE STREET,0.0008292216371286161
cat__zip_code_10001,0.0008289219469242744
cat__off_street_name_71 AVENUE                       ,0.0008225041962154296
cat__off_street_name_CROWELL AVENUE,0.0008203698293116797
cat__zip_code_10474,0.0008159466527941544
cat__zip_code_10010,0.0008120220237607697
cat__on_street_name_SEAGIRT BOULEVARD               ,0.0008056750117220981
cat__on_street_name_111 AVE,0.0008045091337802998
cat__zip_code_11206,0.0008031320116976533
cat__off_street_name_ATLANTIC AVENUE,0.0008030473709585693
cat__zip_code_11377,0.0008025515884641343
cat__off_street_name_4 AVENUE                        ,0.0007960340919064706
cat__on_street_name_36 AVENUE                       ,0.000795832864541378
cat__on_street_name_CROSS BRONX EXPY                ,0.0007948362981607211
cat__off_street_name_EAST 115 STREET                 ,0.000779308444314997
cat__off_street_name_12 STREET,0.0007716895441055395
cat__on_street_name_COURTLANDT AVENUE               ,0.0007689954417563552
cat__on_street_name_3 AVENUE                        ,0.0007686182188134118
cat__on_street_name_FRANCIS LEWIS BOULEVARD         ,0.0007653895061865558
cat__off_street_name_67 DRIVE,0.0007605280142830027
cat__off_street_name_UNION TURNPIKE                  ,0.000755440718002654
cat__on_street_name_ESSEX STREET                    ,0.000753800735412637
cat__zip_code_11102,0.0007381426956334148
cat__off_street_name_CHRISTOPHER LANE                ,0.0007379136588600979
cat__on_street_name_LONG ISLAND EXPRESSWAY,0.0007378869409375388
cat__on_street_name_BROADWAY,0.0007362781659642374
cat__off_street_name_REDGRAVE AVENUE                 ,0.0007310948003370789
cat__off_street_name_BEVERLEY ROAD,0.000729550742777135
cat__on_street_name_WEST 47 STREET,0.0007294833490529402
cat__on_street_name_QUEENS BOULEVARD                ,0.0007292874886550391
cat__on_street_name_VANDUZER STREET,0.0007273523410617384
cat__on_street_name_LINDEN BOULEVARD                ,0.0007259565730258136
cat__zip_code_11209,0.0007230340291104675
cat__contributing_factor_vehicle_2_Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,0.000721676035375294
cat__zip_code_11411,0.0007197686760060545
cat__on_street_name_CROPSEY AVENUE                  ,0.0007183323672729481
cat__off_street_name_GRAHAM AVENUE,0.0007181302734669152
cat__on_street_name_BLAKE AVE,0.000714677795971247
cat__zip_code_11226,0.0007092071445932074
cat__off_street_name_PATCHEN AVENUE                  ,0.0007087504009966175
cat__on_street_name_YORK AVE,0.0007058306767592132
cat__off_street_name_TILDEN AVENUE                   ,0.0007043990009613622
cat__zip_code_11415,0.0007017554318499396
cat__off_street_name_EAST 93 STREET,0.000701728817452291
cat__contributing_factor_vehicle_1_Oversized Vehicle,0.0007016932649421246
cat__off_street_name_EAST 138 STREET                 ,0.0007015490359731984
cat__on_street_name_PARK AVENUE                     ,0.0006976931407738896
cat__off_street_name_ROCKAWAY BLVD,0.000692900936643184
cat__off_street_name_WEST 29 STREET,0.0006890452630339635
cat__off_street_name_SEXTON PLACE,0.0006853187432980301
cat__zip_code_11691,0.0006809935326611552
cat__on_street_name_BROOKLYN QUEENS EXPRESSWAY,0.0006802570726603353
cat__off_street_name_7 AVENUE,0.0006745799733662884
cat__cross_street_name_84-07     ROOSEVELT AVENUE,0.0006673027606513311
cat__on_street_name_AVENUE OF AMERICAS              ,0.0006642333437354583
cat__off_street_name_MOSHOLU PARKWAY                 ,0.0006636025022346672
cat__zip_code_11233,0.000663304159943533
cat__off_street_name_HESTER STREET,0.000662889232929428
cat__cross_street_name_84-46     120 STREET                    ,0.0006608199833546682
cat__on_street_name_FDR DRIVE                       ,0.0006601020802642941
cat__on_street_name_GRAND STREET,0.0006591203619261459
